pet,len,wid,rat,cir,species
1.12,13.85,4.63,2.99,0.57,congtroiensis
1.37,16.81,6.1,2.76,0.64,congtroiensis
1.22,13.61,4.21,3.23,0.55,congtroiensis
1.19,13.21,4.62,2.86,0.55,congtroiensis
1.28,14.13,4.43,3.19,0.53,congtroiensis
1.31,13.83,5.12,2.7,0.6,congtroiensis
1.55,14.8,4.27,3.47,0.51,congtroiensis
1.59,12,5.79,2.07,0.68,congtroiensis
1.56,15.53,5.36,2.9,0.58,congtroiensis
1.55,14.97,5.3,2.82,0.6,congtroiensis
1.61,15.46,5.22,2.96,0.57,congtroiensis
1.67,16.72,5.26,3.18,0.56,congtroiensis
1.55,15.38,6.32,2.43,0.69,congtroiensis
1.41,13.76,5.03,2.74,0.58,congtroiensis
1.81,14.31,6.41,2.23,0.7,congtroiensis
1.63,17.42,7.19,2.42,0.68,congtroiensis
1.29,13.74,5.08,2.7,0.57,congtroiensis
1.3,12.97,4.24,3.06,0.52,congtroiensis
1.31,17.45,6.19,3.06,0.61,congtroiensis
1.2,13.72,4.84,3.06,0.58,congtroiensis
1.37,17.95,6.51,3.06,0.62,congtroiensis
1.26,14.62,4.65,3.06,0.53,congtroiensis
2.09,18.58,8.18,2.27,0.7,honbaensis
2.09,18.57,7.2,2.58,0.62,honbaensis
2.15,15.6,6.54,2.39,0.67,honbaensis
1.78,22.13,9.13,2.42,0.66,honbaensis
1.66,18.35,8.1,2.27,0.69,honbaensis
2.47,27.25,11.04,2.47,0.67,honbaensis
2.15,22.63,8.96,2.53,0.65,honbaensis
2.43,21.49,10.53,2.04,0.74,honbaensis
2.51,23.18,10.58,2.19,0.72,honbaensis
2.61,20.5,9.4,2.18,0.72,honbaensis
1.87,18.02,8.49,2.12,0.72,honbaensis
2,22.4,10.2,2.2,0.65,honbaensis
1.78,21.48,9.33,2.3,0.63,honbaensis
2.53,22.34,10.07,2.22,0.69,honbaensis
2.76,25.99,11.11,2.34,0.72,honbaensis
1.86,16.3,7.22,2.26,0.72,honbaensis
1.66,17.88,7.17,2.49,0.71,honbaensis
1.6,16.18,6.08,2.66,0.61,honbaensis
1.74,15.05,6.44,2.34,0.72,honbaensis
2.45,23.8,10.99,2.17,0.74,honbaensis
1.5,19.39,8.94,2.17,0.75,dahuoaiensis
1.57,23.44,9.63,2.43,0.7,dahuoaiensis
1.49,18.62,7.91,2.35,0.71,dahuoaiensis
1.55,19.28,7.64,2.52,0.67,dahuoaiensis
1.2,15.02,6.63,2.27,0.69,dahuoaiensis
1.37,15.2,6.87,2.21,0.76,dahuoaiensis
1.3,23,9.57,2.4,0.71,dahuoaiensis
1.49,19.17,8.56,2.24,0.73,dahuoaiensis
1.1,15,6.64,2.26,0.7,dahuoaiensis
1.15,17.15,6.96,2.46,0.71,dahuoaiensis
1.39,18.88,8.2,2.3,0.74,dahuoaiensis
1.45,15.05,6.05,2.49,0.65,dahuoaiensis
1.51,21.37,8.28,2.58,0.64,dahuoaiensis
1.36,18.24,6.82,2.67,0.65,dahuoaiensis
1.39,18.76,6.42,2.92,0.6,dahuoaiensis
1.54,26.05,11.18,2.33,0.73,dahuoaiensis
1.52,27.2,11.33,2.4,0.71,dahuoaiensis
1.21,17.13,7.09,2.42,0.7,dahuoaiensis
1.37,18.67,7.89,2.37,0.73,dahuoaiensis
1.42,19.57,7.84,2.5,0.69,dahuoaiensis
1.32,17.04,7.15,2.38,0.73,dahuoaiensis
1.58,23.65,9.81,2.41,0.71,dahuoaiensis