GID_1;pro;cases;death
VNM.1_1;An Giang;23511;395
VNM.2_1;Bac Lieu;14359;132
VNM.3_1;Bac Giang;7028;14
VNM.4_1;Bac Kan;22;0
VNM.5_1;Bac Ninh;4872;16
VNM.6_1;Ben Tre;8231;71
VNM.7_1;Ba Ria-Vung Tau;16060;63
VNM.8_1;Binh Dinh;4501;24
VNM.9_1;Binh Duong;282918;2750
VNM.10_1;Binh Phuoc;8223;20
VNM.11_1;Binh Thuan;17414;134
VNM.12_1;Can Tho;18750;242
VNM.13_1;Ca Mau;9728;47
VNM.14_1;Cao Bang;165;0
VNM.15_1;Dak Lak;7812;42
VNM.16_1;Dac Nong;2554;9
VNM.17_1;Dong Nai;87793;741
VNM.18_1;Dong Thap;22690;289
VNM.19_1;Da Nang;6623;105
VNM.20_1;Dien Bien;482;0
VNM.21_1;Gia Lai;3359;8
VNM.22_1;Hai Duong;1715;1
VNM.23_1;Hai Phong;736;0
VNM.24_1;Hau Giang;5552;14
VNM.25_1;Ho Chi Minh;472745;18028
VNM.26_1;Ha Giang;4338;4
VNM.27_1;Ha Noi;11087;44
VNM.28_1;Ha Nam;1497;0
VNM.29_1;Ha Tinh;1160;5
VNM.30_1;Hoa Binh;471;0
VNM.31_1;Hung Yen;918;2
VNM.32_1;Khanh Hoa;13936;105
VNM.33_1;Kien Giang;20677;246
VNM.34_1;Kon Tum;412;0
VNM.35_1;Lang Son;490;2
VNM.36_1;Lai Chau;37;0
VNM.37_1;Lam Dong;2854;7
VNM.38_1;Lao Cai;189;0
VNM.39_1;Long An;38297;643
VNM.40_1;Nam Dinh;1611;1
VNM.41_1;Nghe An;4597;29
VNM.42_1;Ninh Binh;343;0
VNM.43_1;Ninh Thuan;3885;45
VNM.44_1;Phu Tho;1975;1
VNM.45_1;Phu Yen;3772;39
VNM.46_1;Quang Binh;2628;7
VNM.47_1;Quang Nam;3210;12
VNM.48_1;Quang Ngai;2843;15
VNM.49_1;Quang Ninh;882;0
VNM.50_1;Quang Tri;1052;3
VNM.51_1;Soc Trang;15907;104
VNM.52_1;Son La;370;0
VNM.53_1;Tay Ninh;29937;284
VNM.54_1;Thua Thien Hue;3472;39
VNM.55_1;Thai Binh;1347;0
VNM.56_1;Thai Nguyen;450;0
VNM.57_1;Thanh Hoa;2622;11
VNM.58_1;Tien Giang;25042;541
VNM.59_1;Tra Vinh;8304;41
VNM.60_1;Tuyen Quang;578;0
VNM.61_1;Vinh Long;11942;91
VNM.62_1;Vinh Phuc;1265;3
VNM.63_1;Yen Bai;128;0